customer_id,signup_date,city,acquisition_channel
CUST000007,2025-03-21,Pune,Organic
CUST000008,2025-02-07,Kolkata,Referral
CUST000009,2025-02-25,Delhi,Paid
CUST000010,2025-01-28,Hyderabad,Paid
CUST000011,2025-01-18,Kolkata,Organic
CUST000014,2025-07-03,Bengaluru,Paid
CUST000015,2025-02-14,Ahmedabad,Organic
CUST000017,2025-04-11,Mumbai,Organic
CUST000019,2025-02-03,Bengaluru,Organic
CUST000020,2025-01-10,Pune,Paid
CUST000021,2025-05-03,Kolkata,Organic
CUST000025,2025-01-15,Bengaluru,Paid
CUST000027,2025-01-27,Pune,Social
CUST000028,2025-06-24,Pune,Paid
CUST000030,2025-05-23,Delhi,Referral
CUST000037,2025-06-09,Mumbai,Referral
CUST000039,2025-03-14,Pune,Organic
CUST000042,2025-05-21,Bengaluru,Organic
CUST000043,2025-05-01,Kolkata,Organic
CUST000044,2025-01-19,Bengaluru,Organic
CUST000049,2025-03-01,Hyderabad,Organic
CUST000056,2025-04-03,Mumbai,Paid
CUST000057,2024-12-30,Hyderabad,Organic
CUST000059,2025-02-26,Mumbai,Organic
CUST000060,2025-01-30,Kolkata,Organic
CUST000065,2025-04-03,Bengaluru,Organic
CUST000066,2024-12-16,Pune,Organic
CUST000072,2025-03-26,Bengaluru,Organic
CUST000073,2025-01-18,Hyderabad,Paid
CUST000075,2024-12-01,Hyderabad,Organic
CUST000077,2025-05-06,Mumbai,Social
CUST000083,2025-01-21,Pune,Referral
CUST000084,2025-03-31,Pune,Organic
CUST000087,2024-12-29,Hyderabad,Social
CUST000088,2025-01-15,Pune,Paid
CUST000090,2025-03-07,Pune,Organic
CUST000094,2025-07-10,Delhi,Social
CUST000097,2025-05-11,Mumbai,Referral
CUST000098,2025-03-17,Chennai,Social
CUST000100,2024-12-25,Hyderabad,Social
CUST000102,2024-11-14,Delhi,Organic
CUST000103,2024-12-27,Ahmedabad,Organic
CUST000105,2025-02-14,Pune,Organic
CUST000106,2025-02-20,Mumbai,Social
CUST000107,2025-04-25,Pune,Organic
CUST000108,2025-03-01,Bengaluru,Organic
CUST000109,2025-01-18,Bengaluru,Social
CUST000110,2025-03-30,Mumbai,Organic
CUST000111,2025-08-03,Mumbai,Organic
CUST000113,2025-02-09,Mumbai,Referral
CUST000115,2025-02-17,Mumbai,Referral
CUST000117,2025-01-27,Delhi,Referral
CUST000120,2025-01-10,Ahmedabad,Referral
CUST000121,2024-12-27,Pune,Organic
CUST000123,2024-12-19,Bengaluru,Social
CUST000124,2025-03-09,Delhi,Paid
CUST000127,2024-12-29,Ahmedabad,Organic
CUST000128,2025-03-18,Mumbai,Referral
CUST000129,2025-02-18,Bengaluru,Paid
CUST000131,2025-03-25,Hyderabad,Organic
CUST000134,2025-03-05,Pune,Paid
CUST000135,2025-05-01,Bengaluru,Paid
CUST000139,2024-11-27,Delhi,Referral
CUST000140,2025-02-15,Bengaluru,Paid
CUST000141,2025-02-22,Bengaluru,Social
CUST000142,2025-02-21,Delhi,Organic
CUST000143,2025-02-28,Mumbai,Organic
CUST000144,2025-02-05,Kolkata,Social
CUST000146,2025-01-05,Delhi,Referral
CUST000147,2024-12-31,Bengaluru,Referral
CUST000148,2025-08-01,Ahmedabad,Social
CUST000149,2024-12-20,Bengaluru,Referral
CUST000150,2025-03-16,Ahmedabad,Organic
CUST000151,2025-01-02,Hyderabad,Organic
CUST000153,2025-04-07,Hyderabad,Organic
CUST000154,2025-01-01,Delhi,Paid
CUST000155,2025-03-23,Delhi,Organic
CUST000158,2024-12-07,Hyderabad,Referral
CUST000159,2025-01-10,Pune,Organic
CUST000161,2024-12-30,Bengaluru,Organic
CUST000163,2025-01-29,Mumbai,Organic
CUST000165,2025-02-24,Bengaluru,Paid
CUST000166,2025-01-26,Mumbai,Organic
CUST000168,2025-02-03,Delhi,Organic
CUST000169,2025-07-25,Bengaluru,Paid
CUST000170,2025-03-10,Bengaluru,Referral
CUST000172,2025-06-29,Pune,Referral
CUST000174,2025-04-11,Bengaluru,Referral
CUST000175,2025-03-12,Pune,Organic
CUST000178,2024-12-25,Ahmedabad,Paid
CUST000180,2025-02-08,Mumbai,Social
CUST000188,2024-12-15,Ahmedabad,Social
CUST000190,2025-02-08,Pune,Paid
CUST000191,2025-02-11,Kolkata,Organic
CUST000193,2024-12-05,Mumbai,Paid
CUST000194,2025-02-23,Bengaluru,Paid
CUST000197,2025-05-29,Chennai,Organic
CUST000198,2024-12-17,Hyderabad,Organic
CUST000200,2024-12-12,Chennai,Organic
CUST000201,2024-12-25,Bengaluru,Organic
CUST000203,2025-02-28,Kolkata,Referral
CUST000211,2024-11-28,Mumbai,Paid
CUST000214,2025-01-03,Ahmedabad,Organic
CUST000215,2024-12-27,Mumbai,Paid
CUST000216,2025-01-16,Mumbai,Paid
CUST000217,2025-02-05,Bengaluru,Paid
CUST000218,2024-12-27,Chennai,Organic
CUST000219,2025-04-28,Hyderabad,Paid
CUST000220,2024-12-08,Chennai,Social
CUST000221,2025-01-20,Bengaluru,Organic
CUST000222,2025-05-07,Mumbai,Organic
CUST000229,2025-06-11,Ahmedabad,Paid
CUST000231,2025-01-31,Ahmedabad,Organic
CUST000233,2025-07-13,Chennai,Social
CUST000237,2025-06-07,Kolkata,Paid
CUST000239,2025-05-26,Delhi,Social
CUST000242,2025-03-19,Mumbai,Social
CUST000243,2025-02-03,Chennai,Social
CUST000245,2025-04-20,Hyderabad,Organic
CUST000247,2025-06-06,Bengaluru,Paid
CUST000252,2024-12-03,Delhi,Organic
CUST000256,2025-06-15,Delhi,Organic
CUST000257,2025-03-14,Bengaluru,Organic
CUST000258,2025-06-10,Bengaluru,Organic
CUST000261,2025-05-26,Delhi,Organic
CUST000265,2025-03-15,Chennai,Organic
CUST000266,2025-05-07,Mumbai,Paid
CUST000268,2025-02-03,Delhi,Referral
CUST000269,2025-02-14,Delhi,Organic
CUST000270,2025-01-13,Kolkata,Organic
CUST000276,2025-07-12,Mumbai,Paid
CUST000278,2025-03-02,Chennai,Paid
CUST000279,2025-02-22,Bengaluru,Paid
CUST000280,2025-04-05,Hyderabad,Referral
CUST000281,2025-01-10,Delhi,Paid
CUST000282,2025-06-12,Hyderabad,Referral
CUST000284,2025-06-27,Ahmedabad,Organic
CUST000285,2025-02-17,Chennai,Paid
CUST000286,2024-12-21,Mumbai,Organic
CUST000289,2025-01-14,Bengaluru,Paid
CUST000291,2025-01-01,Delhi,Organic
CUST000293,2025-01-26,Delhi,Organic
CUST000295,2025-07-22,Bengaluru,Paid
CUST000300,2025-06-18,Chennai,Paid
CUST000302,2024-12-22,Delhi,Paid
CUST000305,2024-11-28,Delhi,Paid
CUST000306,2025-03-08,Chennai,Organic
CUST000307,2025-04-13,Pune,Organic
CUST000308,2025-07-20,Pune,Organic
CUST000309,2025-03-14,Ahmedabad,Organic
CUST000310,2024-12-29,Bengaluru,Social
CUST000312,2025-07-25,Delhi,Paid
CUST000313,2024-12-25,Hyderabad,Organic
CUST000314,2025-08-09,Hyderabad,Referral
CUST000317,2025-03-21,Ahmedabad,Organic
CUST000318,2025-03-29,Chennai,Organic
CUST000319,2025-04-22,Mumbai,Organic
CUST000320,2025-01-09,Ahmedabad,Organic
CUST000324,2025-02-16,Chennai,Organic
CUST000325,2024-12-23,Chennai,Social
CUST000326,2025-02-10,Bengaluru,Organic
CUST000328,2025-03-13,Delhi,Organic
CUST000329,2025-03-18,Bengaluru,Organic
CUST000331,2025-03-28,Mumbai,Organic
CUST000332,2025-01-03,Bengaluru,Organic
CUST000334,2025-02-23,Mumbai,Organic
CUST000335,2025-05-27,Ahmedabad,Organic
CUST000337,2024-12-31,Mumbai,Referral
CUST000338,2025-06-26,Bengaluru,Paid
CUST000339,2025-02-28,Ahmedabad,Paid
CUST000342,2025-03-13,Mumbai,Referral
CUST000345,2025-01-22,Bengaluru,Referral
CUST000346,2024-11-28,Hyderabad,Referral
CUST000348,2025-03-22,Hyderabad,Social
CUST000350,2025-01-31,Hyderabad,Organic
CUST000351,2025-05-03,Bengaluru,Paid
CUST000353,2024-12-21,Ahmedabad,Organic
CUST000354,2024-12-30,Chennai,Organic
CUST000356,2025-02-02,Bengaluru,Paid
CUST000357,2025-05-24,Mumbai,Organic
CUST000361,2025-05-07,Chennai,Organic
CUST000363,2025-02-13,Bengaluru,Organic
CUST000364,2025-01-17,Bengaluru,Organic
CUST000365,2025-02-20,Delhi,Organic
CUST000366,2025-01-26,Bengaluru,Organic
CUST000369,2025-04-15,Chennai,Paid
CUST000371,2025-02-24,Delhi,Organic
CUST000373,2025-04-20,Bengaluru,Organic
CUST000374,2025-06-09,Hyderabad,Paid
CUST000376,2025-08-03,Bengaluru,Social
CUST000377,2025-03-03,Chennai,Social
CUST000386,2025-02-15,Pune,Organic
CUST000388,2025-02-23,Ahmedabad,Referral
CUST000389,2025-06-06,Chennai,Paid
CUST000391,2024-12-14,Kolkata,Organic
CUST000394,2025-01-08,Mumbai,Organic
CUST000395,2024-12-13,Bengaluru,Organic
CUST000396,2025-08-10,Pune,Paid
CUST000397,2025-03-01,Pune,Referral
CUST000398,2025-03-03,Kolkata,Organic
CUST000399,2025-02-03,Delhi,Paid
CUST000400,2024-12-21,Bengaluru,Referral
CUST000401,2024-12-25,Mumbai,Organic
CUST000402,2025-05-18,Bengaluru,Organic
CUST000403,2025-08-02,Bengaluru,Paid
CUST000404,2025-04-02,Bengaluru,Social
CUST000407,2025-01-08,Bengaluru,Paid
CUST000408,2024-12-21,Pune,Organic
CUST000409,2025-03-17,Chennai,Organic
CUST000413,2025-03-24,Delhi,Referral
CUST000414,2024-12-21,Ahmedabad,Paid
CUST000418,2025-03-22,Mumbai,Organic
CUST000419,2024-12-19,Bengaluru,Referral
CUST000420,2025-01-04,Kolkata,Organic
CUST000421,2025-03-09,Hyderabad,Referral
CUST000423,2025-01-25,Mumbai,Organic
CUST000424,2025-02-18,Ahmedabad,Organic
CUST000425,2025-02-22,Bengaluru,Organic
CUST000426,2025-06-16,Mumbai,Paid
CUST000427,2025-03-18,Mumbai,Paid
CUST000428,2025-05-13,Bengaluru,Referral
CUST000430,2025-01-19,Bengaluru,Referral
CUST000431,2025-06-29,Mumbai,Paid
CUST000432,2025-07-28,Bengaluru,Organic
CUST000433,2025-03-16,Chennai,Social
CUST000434,2024-12-08,Kolkata,Social
CUST000435,2024-12-04,Bengaluru,Paid
CUST000437,2025-03-23,Delhi,Paid
CUST000442,2025-03-27,Bengaluru,Organic
CUST000443,2025-02-02,Kolkata,Organic
CUST000445,2025-02-22,Mumbai,Organic
CUST000447,2025-08-29,Mumbai,Paid
CUST000448,2025-04-19,Mumbai,Referral
CUST000451,2025-05-15,Bengaluru,Social
CUST000452,2024-11-09,Bengaluru,Organic
CUST000453,2025-02-14,Bengaluru,Organic
CUST000454,2024-12-07,Bengaluru,Social
CUST000455,2025-02-20,Bengaluru,Paid
CUST000456,2025-04-23,Chennai,Organic
CUST000459,2025-05-17,Bengaluru,Organic
CUST000461,2025-01-21,Hyderabad,Paid
CUST000462,2024-12-04,Hyderabad,Referral
CUST000464,2025-03-24,Delhi,Organic
CUST000465,2025-02-18,Mumbai,Organic
CUST000466,2025-02-19,Mumbai,Organic
CUST000468,2024-12-20,Bengaluru,Paid
CUST000469,2025-02-14,Mumbai,Organic
CUST000470,2025-02-05,Ahmedabad,Paid
CUST000475,2024-12-15,Delhi,Organic
CUST000479,2025-02-16,Ahmedabad,Paid
CUST000480,2025-02-15,Pune,Paid
CUST000482,2025-03-10,Hyderabad,Social
CUST000486,2025-03-26,Hyderabad,Organic
CUST000488,2025-01-23,Bengaluru,Organic
CUST000490,2025-08-30,Hyderabad,Paid
CUST000492,2024-12-17,Mumbai,Referral
CUST000495,2025-01-27,Mumbai,Organic
CUST000499,2024-12-27,Bengaluru,Organic
CUST000501,2025-02-04,Bengaluru,Referral
CUST000502,2025-04-07,Delhi,Paid
CUST000504,2025-02-03,Bengaluru,Organic
CUST000505,2025-01-05,Bengaluru,Organic
CUST000507,2024-12-22,Pune,Referral
CUST000509,2024-12-23,Mumbai,Organic
CUST000510,2025-02-25,Bengaluru,Referral
CUST000511,2025-05-31,Ahmedabad,Organic
CUST000515,2025-05-28,Pune,Referral
CUST000517,2025-02-23,Delhi,Organic
CUST000519,2025-04-07,Delhi,Organic
CUST000520,2025-03-21,Bengaluru,Social
CUST000521,2024-12-08,Hyderabad,Organic
CUST000522,2024-12-24,Hyderabad,Organic
CUST000523,2024-11-25,Mumbai,Organic
CUST000524,2025-03-04,Hyderabad,Referral
CUST000525,2025-02-11,Bengaluru,Referral
CUST000526,2024-12-30,Bengaluru,Paid
CUST000531,2025-01-30,Mumbai,Organic
CUST000536,2025-05-07,Bengaluru,Organic
CUST000538,2025-02-22,Mumbai,Organic
CUST000539,2024-12-19,Bengaluru,Organic
CUST000540,2024-12-21,Delhi,Organic
CUST000542,2025-01-28,Chennai,Organic
